Id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Alfajores'}),frozenset({'Coffee'}),0.03609275,0.475081314,0.019515266,0.540697674,1.138116063,0.002368275,1.142860937
1,frozenset({'Coffee'}),frozenset({'Alfajores'}),0.475081314,0.03609275,0.019515266,0.041077739,1.138116063,0.002368275,1.005198533
2,frozenset({'Pastry'}),frozenset({'Bread'}),0.08551044,0.324939671,0.028958137,0.338650307,1.042194405,0.001172403,1.020731296
3,frozenset({'Bread'}),frozenset({'Pastry'}),0.324939671,0.08551044,0.028958137,0.089118502,1.042194405,0.001172403,1.003961066
4,frozenset({'Coffee'}),frozenset({'Brownie'}),0.475081314,0.039764977,0.019515266,0.041077739,1.033012997,0.000623668,1.001368996
5,frozenset({'Brownie'}),frozenset({'Coffee'}),0.039764977,0.475081314,0.019515266,0.490765172,1.033012997,0.000623668,1.030798871
6,frozenset({'Coffee'}),frozenset({'Cake'}),0.475081314,0.103137131,0.054348967,0.114399293,1.109195996,0.005350443,1.012716975
7,frozenset({'Cake'}),frozenset({'Coffee'}),0.103137131,0.475081314,0.054348967,0.526958291,1.109195996,0.005350443,1.109666814
8,frozenset({'Hot chocolate'}),frozenset({'Cake'}),0.057916273,0.103137131,0.011331445,0.195652174,1.89701004,0.005358126,1.115018701
9,frozenset({'Cake'}),frozenset({'Hot chocolate'}),0.103137131,0.057916273,0.011331445,0.109867752,1.89701004,0.005358126,1.058363775
10,frozenset({'Tea'}),frozenset({'Cake'}),0.141643059,0.103137131,0.023607177,0.166666667,1.615971516,0.008998518,1.076235442
11,frozenset({'Cake'}),frozenset({'Tea'}),0.103137131,0.141643059,0.023607177,0.22889115,1.615971516,0.008998518,1.11314627
12,frozenset({'Coffee'}),frozenset({'Cookies'}),0.475081314,0.055922778,0.028643374,0.060291519,1.07812096,0.002075507,1.004649039
13,frozenset({'Cookies'}),frozenset({'Coffee'}),0.055922778,0.475081314,0.028643374,0.512195122,1.07812096,0.002075507,1.076083307
14,frozenset({'Hot chocolate'}),frozenset({'Coffee'}),0.057916273,0.475081314,0.02937782,0.507246377,1.067704332,0.001862881,1.065276158
15,frozenset({'Coffee'}),frozenset({'Hot chocolate'}),0.475081314,0.057916273,0.02937782,0.061837456,1.067704332,0.001862881,1.004179641
16,frozenset({'Juice'}),frozenset({'Coffee'}),0.038296086,0.475081314,0.020459553,0.534246575,1.124537127,0.002265798,1.127031297
17,frozenset({'Coffee'}),frozenset({'Juice'}),0.475081314,0.038296086,0.020459553,0.043065371,1.124537127,0.002265798,1.004983919
18,frozenset({'Coffee'}),frozenset({'Medialuna'}),0.475081314,0.061378659,0.034938621,0.073542403,1.198175455,0.005778767,1.013129304
19,frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061378659,0.475081314,0.034938621,0.569230769,1.198175455,0.005778767,1.218561236
20,frozenset({'Muffin'}),frozenset({'Coffee'}),0.038191166,0.475081314,0.0186759,0.489010989,1.029320613,0.000531991,1.027260225
21,frozenset({'Coffee'}),frozenset({'Muffin'}),0.475081314,0.038191166,0.0186759,0.039310954,1.029320613,0.000531991,1.00116561
22,frozenset({'Coffee'}),frozenset({'Pastry'}),0.475081314,0.08551044,0.047214353,0.099381625,1.162216285,0.006589941,1.015401846
23,frozenset({'Pastry'}),frozenset({'Coffee'}),0.08551044,0.475081314,0.047214353,0.552147239,1.162216285,0.006589941,1.172078711
24,frozenset({'Puff'}),frozenset({'Coffee'}),0.076802014,0.475081314,0.041233868,0.536885246,1.130091272,0.004746667,1.133452739
25,frozenset({'Coffee'}),frozenset({'Puff'}),0.475081314,0.076802014,0.041233868,0.086793286,1.130091272,0.004746667,1.010940865
26,frozenset({'Coffee'}),frozenset({'Sandwich'}),0.475081314,0.071346134,0.037981324,0.079946996,1.120551211,0.004086109,1.009348225
27,frozenset({'Sandwich'}),frozenset({'Coffee'}),0.071346134,0.475081314,0.037981324,0.532352941,1.120551211,0.004086109,1.122467631
28,frozenset({'Coffee'}),frozenset({'Scone'}),0.475081314,0.034309097,0.017941454,0.037765018,1.100729001,0.001641844,1.003591556
29,frozenset({'Scone'}),frozenset({'Coffee'}),0.034309097,0.475081314,0.017941454,0.52293578,1.100729001,0.001641844,1.100310323
30,frozenset({'Coffee'}),frozenset({'Spanish Brunch'}),0.475081314,0.018046375,0.010806841,0.02274735,1.260494135,0.002233345,1.004810399
31,frozenset({'Spanish Brunch'}),frozenset({'Coffee'}),0.018046375,0.475081314,0.010806841,0.598837209,1.260494135,0.002233345,1.308492957
32,frozenset({'Coffee'}),frozenset({'Toast'}),0.475081314,0.03336481,0.023502256,0.049469965,1.482698847,0.007651258,1.016943342
33,frozenset({'Toast'}),frozenset({'Coffee'}),0.03336481,0.475081314,0.023502256,0.704402516,1.482698847,0.007651258,1.775788748
34,frozenset({'Tea'}),frozenset({'Cookies'}),0.141643059,0.055922778,0.010387158,0.073333333,1.311332083,0.002466084,1.018788369
35,frozenset({'Cookies'}),frozenset({'Tea'}),0.055922778,0.141643059,0.010387158,0.185741088,1.311332083,0.002466084,1.054157256
36,frozenset({'Tea'}),frozenset({'Puff'}),0.141643059,0.076802014,0.017626692,0.124444444,1.620327869,0.00674822,1.054413943
37,frozenset({'Puff'}),frozenset({'Tea'}),0.076802014,0.141643059,0.017626692,0.229508197,1.620327869,0.00674822,1.114037731
38,frozenset({'Tea'}),frozenset({'Sandwich'}),0.141643059,0.071346134,0.014269227,0.100740741,1.412,0.004163542,1.032687578
39,frozenset({'Sandwich'}),frozenset({'Tea'}),0.071346134,0.141643059,0.014269227,0.2,1.412,0.004163542,1.072946176
40,"frozenset({'Coffee', 'Bread'})",frozenset({'Pastry'}),0.089392509,0.08551044,0.011121603,0.124413146,1.454946859,0.00347761,1.044430436
41,frozenset({'Pastry'}),"frozenset({'Coffee', 'Bread'})",0.08551044,0.089392509,0.011121603,0.13006135,1.454946859,0.00347761,1.046749091
