Id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Coffee'}),frozenset({'Cake'}),0.475081314,0.103137131,0.054348967,0.114399293,1.109195996,0.005350443,1.012716975
1,frozenset({'Cake'}),frozenset({'Coffee'}),0.103137131,0.475081314,0.054348967,0.526958291,1.109195996,0.005350443,1.109666814
2,frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061378659,0.475081314,0.034938621,0.569230769,1.198175455,0.005778767,1.218561236
3,frozenset({'Coffee'}),frozenset({'Medialuna'}),0.475081314,0.061378659,0.034938621,0.073542403,1.198175455,0.005778767,1.013129304
4,frozenset({'Coffee'}),frozenset({'Pastry'}),0.475081314,0.08551044,0.047214353,0.099381625,1.162216285,0.006589941,1.015401846
5,frozenset({'Pastry'}),frozenset({'Coffee'}),0.08551044,0.475081314,0.047214353,0.552147239,1.162216285,0.006589941,1.172078711
6,frozenset({'Coffee'}),frozenset({'Puff'}),0.475081314,0.076802014,0.041233868,0.086793286,1.130091272,0.004746667,1.010940865
7,frozenset({'Puff'}),frozenset({'Coffee'}),0.076802014,0.475081314,0.041233868,0.536885246,1.130091272,0.004746667,1.133452739
8,frozenset({'Coffee'}),frozenset({'Sandwich'}),0.475081314,0.071346134,0.037981324,0.079946996,1.120551211,0.004086109,1.009348225
9,frozenset({'Sandwich'}),frozenset({'Coffee'}),0.071346134,0.475081314,0.037981324,0.532352941,1.120551211,0.004086109,1.122467631
